order_id,order_date,order_time,order_status,shipping_cost,customer_id,customer_email,customer_first_name,customer_last_name,customer_phone,customer_age,customer_gender,customer_registration_date,customer_city,customer_state,product_id,product_name,product_category,product_subcategory,product_brand,product_cost,product_list_price,warehouse_id,warehouse_city,warehouse_state,warehouse_country,quantity_ordered,payment_method,payment_status,order_returned,payment_refunded,shipping_address_line1,shipping_address_line2,shipping_city,shipping_state,shipping_zip,shipping_country,shipping_method
a9d1d83c-3460-4560-a4f1-3ba25bff8e3e,"January 18, 2024",15:49:04,delivered,,f5640e0b-6ef3-4ccb-a3be-457a5d78649b,jason.king@gmail.com,Jason,King,+17538586041,52,F,04 March 2023,San Jose,CA,PRD_065,Sony Washing Machine Pro,Electronics,Washing Machines,Sony,963.73,1924.34,WH_007,Los Angeles,CA,US,9,debit_card,success,0,false,8064 Cedar Ave,Apt 598|Apt 598_alt,San Jose,CA,95107,US,overnight
77c875ae-6c9d-44ae-a34c-84c353bf8c76,2024-01-26,00:26:04,pending,6.77,074318e6-03ac-4989-b833-4a4aa3bcd3a9,william.allen@gmail.com,William,Allen,409-508-4460,66,F,2023/05/02,,TN,PRD_207,Neutrogena Personal Care Premium,Healthcare,Personal Care,Neutrogena,19.61,48.16,WH_008,Los Angeles,CA,US,7,apple_pay,pending,0,0,5695 Maple St,Apt 414,Nashville,TN,37210,US,express
7be2e8e4-96eb-4c01-938e-1362e9462426,21-Mar-2024,22:57:49,pending,8.56,9ab44c1f-7ca4-47a9-9d6c-cf6ba054f3d8,thomas.torres@gmail.com,Thomas,Torres,688.866.4267,38,F,18-Mar-2022,Dallas,TX,PRD_006,Dell Smartphone,Electronics,Smartphones,Dell,507.2,1125.94,WH_032,San Antonio,TX,US,9,paypal,pending,yes,yes,3894 Oak Ave,Apt 220,Dallas,TX,75201,US,standard
97e544b5-2b4c-4349-9ca4-d8e6c9be1ba3,2024-02-25,20:02:23,delivered,5.68,15101dab-29e6-4775-bb09-aef8af4c1919,thomas.perez@gmail.com,Thomas,Perez,+17314126325,51,F,"Aug 16, 2021",Fort Worth,TX,PRD_016,Apple Laptop,Electronics,Laptops,Apple,786.19,1577.53,WH_033,San Antonio,TX,US,5,paypal,success,false,0,6828 Elm Dr,Apt 735|Apt 735_alt,Phoenix,AZ,85010,US,overnight
ea565541-3ac7-44fb-b6c9-2f2b2129d869,2024-02-18,08:29:41,cancelled,1.29,0b56a22f-bceb-4b6e-8858-606d94411895,paul.allen@gmail.com,Paul,Allen,(508) 702-6866,68,Other,14 April 2023,Columbus,,PRD_003,Mi Smartphone Pro,Electronics,Smartphones,Mi,626.35,1506.02,WH_044,Dallas,TX,US,2,credit_card,failed,no,false,378 Oak Ave,Apt 629,San Antonio,TX,78213,US,standard
8a1649a8-175b-4df9-a485-50b9bdf47d38,11-Jan-2024,10:19:53,cancelled,7.16,5c2021de-da08-42e9-8cfd-720d4b961625,ronald.perez@gmail.com,Ronald,Perez,+12863407813,75,Other,24-Jul-2021,Charlotte,NC,PRD_460,Tyson Frozen Food,Groceries,Frozen Foods,Tyson,11.83,16.36,WH_044,Dallas,TX,US,10,google_pay,failed,1,true,6262 Main St,  Apt 468  ,Seattle,WA,98110,US,express
f36a231f-a631-4bdd-8ae8-4c5fe260d2e9,2024/03/03,10:58:19,pending,5.37,79157bb2-eca6-44f6-8208-77de13bb3799,nicholas.perez@gmail.com,Nicholas,Perez,246.285.7819,38,Other,2023/01/21,Phoenix,AZ,PRD_035,Sony Headphone Ultra,Electronics,Headphones,Sony,669.1,1599.76,WH_010,Los Angeles,CA,US,7,debit_card,pending,yes,,4540 Cedar Ave,Apt 582,Chicago,IL,60614,US,standard
6b9677f1-5f14-4d12-973d-390abcc88a84,14-Jan-2024,15:32:31,cancelled,9.92,f871e28e-65c1-462a-80c2-9a88a0fcefed,mark.robinson@gmail.com,Mark,Robinson,6372895825,48,M,2023/04/04,Los Angeles,  CA  ,PRD_149,Gap T-Shirt,Apparel,T-Shirts,Gap,26.15,63.99,WH_009,Los Angeles,CA,US,3,paypal,failed,false,0,253 First St,Apt 782,Los Angeles,CA,90004,US,standard
25fbbfb8-123d-417e-8705-c49dce57772b,11 February 2024,22:37:44,delivered,9.05,da82d50b-ae9f-49e7-a21c-61ecea8639a5,anthony.campbell@gmail.com,Anthony,Campbell,2579824594,72,F,"Dec 27, 2023",Houston,TX,PRD_153,Levi T-Shirt Premium,Apparel,T-Shirts,Levi,218.92,291.52,WH_033,San Antonio,TX,US,4,debit_card,success,0,no,5395 Oak Ave,Apt 280|Apt 280_alt,Houston,TX,77005,US,overnight
ee789b32-a018-4763-a471-dcfd41f78bbf,2024/03/12,21:38:38,delivered,1.29,e26b4b82-99d2-41b8-957f-1a304effbb56,benjamin.robinson@gmail.com,Benjamin,Robinson,725-930-3547,27,F,16-Oct-2022,Los Angeles,CA,PRD_026,Asus Speaker Ultra,Electronics,Speakers,Asus,117.43,263.92,WH_038,San Diego,CA,US,4,paypal,success,false,0,8537 Park Rd,Apt 741,Los Angeles,CA,90213,US,overnight
